B07NWHK153	[3, 0, 5, 2, 0, 0, 0, 0, 0, 0]
B01MZHXYSJ	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B078H4P2FG	[5, 4, 10, 3, 0, 0, 0, 1, 1, 0]
B074XKW9BQ	[0, 0, 0, 1, 0, 2, 1, 0, 0, 0]
B09N7337FW	[1, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B093PSXTM7	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B087LXGPDD	[17, 6, 15, 6, 2, 4, 2, 5, 4, 0]
B08B4LXKS8	[3, 2, 13, 7, 0, 2, 2, 0, 0, 0]
B096KPH54V	[1, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B07D42K7XF	[3, 1, 2, 5, 2, 2, 0, 0, 0, 0]
B076528P4L	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
B08V8R7YQS	[6, 1, 7, 4, 0, 1, 2, 0, 1, 0]
B09NPMSG2N	[2, 0, 3, 3, 0, 0, 0, 0, 0, 0]
B08X2GN75P	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B077NF6TC4	[4, 6, 2, 2, 0, 1, 1, 0, 0, 0]
B07QKBMJXZ	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B07NBLZH3L	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B08PT3SFCF	[9, 4, 16, 5, 3, 2, 2, 1, 2, 1]
B07ZZ62VT2	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B06VS9WNKN	[1, 0, 0, 4, 0, 0, 0, 0, 0, 0]
B06WWK5PG1	[1, 0, 2, 1, 0, 0, 0, 0, 0, 0]
B0841ZKWT2	[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B07SMVP4Q9	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B07V6DVFP2	[4, 3, 12, 6, 0, 4, 2, 2, 2, 1]
B0744PS9PN	[13, 0, 9, 10, 0, 0, 0, 1, 0, 0]
B0814YV22G	[7, 3, 5, 7, 1, 3, 0, 1, 1, 1]
B081X7LRJG	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B086QYKBZ2	[4, 0, 6, 1, 1, 0, 3, 0, 0, 0]
B08QDM1TRD	[0, 0, 0, 6, 0, 0, 0, 0, 0, 0]
B07BYLBRDY	[0, 0, 0, 6, 0, 0, 0, 0, 0, 0]
B093LGGQ1Q	[6, 3, 14, 6, 1, 3, 1, 1, 1, 0]
B071NBC1LN	[14, 1, 14, 8, 0, 1, 1, 0, 0, 0]
B07ZJ7XMZR	[1, 0, 0, 25, 1, 0, 0, 0, 0, 0]
B07YTV91CY	[20, 23, 23, 9, 0, 1, 0, 0, 0, 0]
B07FSBPHV4	[4, 0, 9, 3, 0, 0, 1, 0, 0, 0]
B08SLXBWHX	[1, 1, 6, 1, 3, 1, 0, 1, 0, 0]
B096H3WBW5	[4, 1, 5, 2, 1, 2, 3, 0, 1, 0]
B01N0F73US	[2, 0, 0, 27, 0, 1, 0, 0, 0, 0]
B07KRVSSZG	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B07ST857NF	[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B074SZC589	[6, 3, 12, 6, 1, 5, 1, 2, 1, 0]
B07PRSFKFC	[11, 6, 20, 20, 2, 6, 8, 2, 3, 4]
B07GYK1NBQ	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B083TPHT5H	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B07GNMRNSS	[1, 0, 2, 3, 0, 1, 0, 0, 0, 0]
B07BNJ7NKD	[4, 0, 7, 1, 0, 0, 0, 0, 0, 0]
B089KL5SZ6	[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B07ZFGKNCJ	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B08KYGWYCP	[4, 0, 2, 0, 0, 1, 0, 0, 0, 0]
B096VMXLV8	[0, 2, 3, 2, 0, 1, 0, 1, 0, 0]
B07MMBH7L5	[5, 0, 3, 2, 0, 0, 0, 0, 0, 0]
B07L5WYWG6	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B07GQN1G53	[6, 0, 3, 7, 0, 2, 1, 0, 0, 0]
B08K479HBK	[0, 1, 0, 17, 0, 0, 0, 0, 0, 0]
B09TKK2521	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B089CZZDMP	[0, 0, 1, 2, 0, 0, 0, 0, 0, 0]
B06X9C312N	[3, 0, 1, 4, 0, 0, 0, 1, 0, 0]
B075RPKBVD	[4, 0, 3, 4, 0, 0, 1, 0, 0, 0]
B09BQ7VVX7	[2, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B07Y4W9X7F	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B01JYRKS9C	[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]
B07PDQ1Q2B	[7, 5, 9, 5, 0, 4, 1, 0, 2, 0]
B07ZBYNJGX	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B071XHC4VX	[5, 3, 5, 4, 0, 0, 0, 0, 0, 0]
B08R6Y23HW	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B07J5GJ5FG	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B073PKWX11	[20, 7, 14, 2, 1, 2, 1, 1, 1, 1]
B079QWD1R7	[0, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B07FXG3KYX	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B08PT33Z1D	[1, 1, 0, 4, 0, 0, 0, 0, 0, 0]
B01E7TYGFO	[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]
B07C5MYYBL	[6, 3, 6, 3, 1, 2, 0, 0, 0, 0]
B0973G258B	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B08729SDVB	[3, 0, 5, 3, 1, 0, 1, 0, 0, 0]
B087LXXBSF	[0, 0, 0, 5, 0, 0, 0, 0, 0, 0]
B0765223KP	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
B094NB1NK1	[1, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B07TBZZFXN	[5, 0, 4, 2, 1, 2, 3, 0, 2, 2]
B077XT72JZ	[0, 0, 0, 24, 0, 0, 0, 0, 0, 0]
B07FMT8HS9	[20, 3, 16, 6, 0, 1, 0, 1, 0, 0]
B07S16M7HS	[1, 1, 18, 10, 2, 1, 1, 2, 0, 0]
B07WTVRM81	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B0989186BK	[3, 2, 3, 2, 0, 0, 0, 0, 0, 0]
B07Z8YP9BV	[20, 21, 47, 15, 3, 8, 6, 6, 2, 2]
B09DGCG13Z	[1, 0, 0, 2, 0, 0, 0, 0, 0, 0]
B08VNQTP5T	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]
B08LZ92CFV	[3, 0, 7, 2, 0, 0, 0, 0, 0, 0]
B08KW34DWR	[34, 4, 16, 5, 0, 3, 2, 5, 3, 1]
B08L51QW4Z	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B09QX3P61L	[4, 0, 4, 1, 0, 0, 2, 0, 0, 0]
B07MBSYY66	[5, 2, 8, 5, 1, 1, 2, 1, 0, 1]
B089VVXRNY	[4, 1, 6, 2, 0, 1, 1, 0, 0, 0]
B08DNGHC7Z	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
B08JVGBQ5C	[2, 2, 4, 9, 1, 4, 1, 0, 1, 1]
B07G25LPN1	[4, 1, 5, 2, 1, 2, 3, 0, 1, 0]
B08W513ZHH	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B088FK9F3M	[3, 5, 1, 1, 0, 4, 1, 2, 1, 1]
B08PVW52YY	[3, 0, 5, 2, 1, 0, 1, 0, 0, 0]
B08SJ2XB9N	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
B088ZLN66Y	[5, 1, 8, 9, 0, 3, 0, 0, 0, 0]
B08TC54V9D	[3, 0, 4, 2, 1, 0, 1, 0, 0, 0]
